participant_id,phase_duration_seconds,total_duration_seconds,social_presence_3,social_presence_1,social_presence_4,social_presence_5,social_presence_2,affect_trust_1,affect_trust_2,attention_check_1,integrity_trust_1,integrity_trust_2,integrity_trust_3,benevolence_trust_1,benevolence_trust_2,benevolence_trust_3,competence_trust_1,competence_trust_2,competence_trust_3,demographics
P001,260,260,3,3,4,3,2,3,3,5,5,5,5,5,5,5,6,6,6,{}
P002,272,272,4,3,4,3,3,4,4,5,4,4,4,3,3,3,5,5,5,{}
P006,297,297,5,3,3,4,4,5,3,5,6,6,6,7,7,7,5,5,6,{}
P008,292,292,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,{}
P009,224,224,6,6,6,6,5,6,6,5,5,5,5,5,5,6,5,5,5,{}
P015,515,515,5,2,2,5,6,6,7,5,5,7,4,6,7,6,6,5,7,{}
P016,174,174,4,3,4,2,4,4,4,5,5,6,6,3,2,6,2,2,2,{}
P017,191,191,4,4,5,4,3,4,4,5,4,4,4,2,2,3,2,2,2,{}
P018,397,397,6,6,5,7,6,6,6,5,7,6,6,7,6,7,7,7,7,{}
P019,133,133,6,5,6,6,6,7,6,5,6,7,6,7,7,6,6,7,6,{}
P023,198,198,5,4,5,5,5,4,4,5,6,6,4,6,6,6,6,7,7,{}
P024,248,248,7,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,{}
P026,164,164,5,4,4,5,6,6,6,5,6,6,6,6,7,6,6,6,6,{}
P040,441,441,7,2,6,5,5,6,6,5,7,7,6,6,6,6,6,6,6,{}
P045,199,199,6,3,5,5,6,6,6,5,5,6,4,6,6,7,7,6,7,{}
P048,584,584,6,5,5,4,7,6,4,5,6,6,5,6,6,6,4,3,5,{}
P051,425,425,5,4,5,5,6,6,4,5,6,6,6,7,4,5,6,7,7,{}
P052,289,289,3,1,2,2,1,2,3,5,4,5,4,3,2,5,2,3,2,{}
P053,203,203,6,5,3,3,4,6,5,5,5,4,7,6,6,6,7,7,7,{}
P057,134,134,5,4,4,4,5,5,6,5,6,5,7,6,6,7,6,6,6,{}
P059,123,123,5,4,6,6,6,6,6,5,6,6,6,5,5,6,6,6,6,{}
P020,282,282,7,5,5,5,7,6,6,5,5,5,7,6,5,7,6,6,7,{}
P060,106,106,5,4,4,5,5,5,4,5,5,5,5,5,4,6,5,5,5,{}
P032,681,681,5,5,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,{}
P039,258,258,5,6,6,5,5,5,5,5,6,5,5,6,5,5,5,6,5,{}
P044,204,204,4,6,5,5,4,5,5,5,5,6,5,5,5,5,5,5,5,{}
P049,125,125,5,5,5,4,5,4,5,5,4,4,4,4,4,5,4,4,4,{}
P010,567,567,5,6,6,5,5,5,5,5,5,7,6,5,6,6,5,4,5,{}
P013,274,274,6,6,5,5,6,5,5,5,6,7,7,5,6,6,6,7,7,{}
P050,442,442,7,7,7,7,5,6,6,5,6,7,6,6,6,7,6,6,5,{}
