participant_id,phase_duration_seconds,total_duration_seconds,perceived_healthiness,attention_check_2,affect_trust_1,affect_trust_2,integrity_trust_1,integrity_trust_2,integrity_trust_3,benevolence_trust_1,benevolence_trust_2,benevolence_trust_3,competence_trust_1,competence_trust_2,competence_trust_3,behavioral_intention_1,behavioral_intention_2,behavioral_intention_3,continuance_intention_1,continuance_intention_2,continuance_intention_3,familiarity_1,familiarity_2,trust_disposition_1,trust_disposition_2,trust_disposition_3,health_consciousness_1,health_consciousness_2,health_consciousness_3,demographics
P001,332,594,5,1,3,3,5,5,5,5,5,5,6,6,6,5,6,3,5,4,5,7,6,6,6,6,5,4,5,"{'age': '55–64', 'gender': 'Male', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P002,235,509,1,1,3,3,4,3,3,2,1,1,2,2,2,1,1,1,3,3,3,6,3,4,4,4,4,3,4,"{'age': '45–54', 'gender': 'Female', 'ethnicity': 'Caucasian', 'cook_frequency': 'Daily'}"
P006,322,623,2,1,4,5,5,5,6,2,4,4,2,2,3,4,4,3,5,5,5,7,6,6,6,6,4,4,4,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'African', 'cook_frequency': 'Several times a week'}"
P008,297,594,4,1,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,4,5,5,5,4,4,5,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'African', 'cook_frequency': 'Daily'}"
P009,384,613,5,1,5,4,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,5,5,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'African', 'cook_frequency': 'Daily'}"
P015,566,1085,3,1,3,4,4,5,6,4,4,5,5,4,6,4,5,4,6,6,7,5,4,6,7,2,7,5,5,"{'cook_frequency': 'Daily', 'age': '25–34', 'gender': 'Male', 'ethnicity': 'African'}"
P016,234,411,3,1,2,2,3,4,5,2,1,5,2,2,2,1,1,6,1,1,1,6,6,3,3,3,5,3,2,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'Caucasian', 'cook_frequency': 'Several times a week'}"
P017,354,548,2,1,2,4,2,3,2,2,2,2,2,2,2,1,1,7,1,1,1,7,4,3,2,3,5,4,5,"{'age': '45–54', 'gender': 'Female', 'ethnicity': 'Asian', 'cook_frequency': 'Several times a week'}"
P018,472,872,6,1,7,7,7,7,7,7,6,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,6,6,7,"{'age': '65+', 'gender': 'Female', 'ethnicity': 'African', 'cook_frequency': 'Several times a week'}"
P019,246,383,6,1,7,7,6,7,7,6,6,7,7,7,7,6,6,5,6,7,7,6,6,6,7,7,6,5,6,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'African', 'cook_frequency': 'Several times a week'}"
P023,222,424,6,1,6,6,6,6,6,6,6,6,6,6,7,6,7,1,5,1,3,6,6,4,4,6,4,3,3,"{'age': '25–34', 'gender': 'Female', 'ethnicity': 'Asian', 'cook_frequency': 'Several times a week'}"
