participant_id,rank,recipe_title,dish_type,total_time,complexity,distance,fsa_score,row_num
P010,1,Stewed Tomato Pork Chops,Meat and Chicken Dishes,35 mins,10,0.0571428571428571,4,1
P010,2,Air Fryer Keto Pork Chops,Meat and Chicken Dishes,25 mins,9,0.0625,7,2
P010,3,Fabienne's Bison Meatballs,Meat and Chicken Dishes,20 mins,9,0.068721005017478,6,3
P010,1,Stuffed Peppers My Way,Stuffed Dishes,1 hr,11,0.0416666666666669,10,4
P010,2,Stuffed Zucchini,Stuffed Dishes,1 hr 10 mins,7,0.3321137699840489,11,5
P010,3,My Favorite Stuffed Green Peppers,Stuffed Dishes,1 hr 5 mins,13,0.1749659495378997,10,6
P013,1,Cantonese Style Pork and Shrimp Dumplings,Dumplings,50 mins,12,0.1,6,1
P013,2,Potato Dumplings,Dumplings,50 mins,4,0.4333333333333333,5,2
P013,3,Dim Sum Asian Dumplings,Dumplings,1 hr,15,0.3083861877846131,6,3
P013,1,Roast Pork with Maple and Mustard Glaze,Meat and Chicken Dishes,1 hr 25 mins,7,0.0625,12,4
P013,2,Honey Glazed Ham,Meat and Chicken Dishes,1 hr 35 mins,5,0.0846850407241383,12,5
P013,3,Orange Glazed Ham,Meat and Chicken Dishes,1 hr 55 mins,6,0.1714285714285714,12,6
P032,1,Halibut Steaks,Seafood,30 mins,11,0.0708333333333333,4,1
P032,2,Fast Salmon with a Ginger Glaze,Seafood,25 mins,10,0.0,6,2
P032,3,Big Ray's Lemony Grilled Salmon Fillets with Dill Sauce,Seafood,30 mins,11,0.0708333333333333,5,3
P032,1,Sweet and Sour Meatballs II,Meat and Chicken Dishes,20 mins,11,0.068721005017478,12,4
P032,2,Pecan-Crusted Pork with Pumpkin Butter,Meat and Chicken Dishes,30 mins,10,0.0285714285714285,10,5
P032,3,Ham and Pineapple Dinner,Meat and Chicken Dishes,35 mins,9,0.0846850407241384,12,6
P039,1,Salmon with Fruit Salsa,Seafood,55 mins,14,0.0913821341644221,4,1
P039,2,Lemon Dill Salmon Fillet,Seafood,50 mins,15,0.0333333333333333,6,2
P039,3,Drunken Shrimp,Seafood,35 mins,15,0.0666666666666667,6,3
P039,1,Buffalo Chicken Sausage and Pepper Sandwich,Sandwiches and Tacos,25 mins,9,0.069944822980142,11,4
P039,2,Pittsburgh Ham Barbecues,Sandwiches and Tacos,30 mins,11,0.0940079103054034,12,5
P039,3,Arepas,Sandwiches and Tacos,27 mins,11,0.0792527085214935,11,6
P044,1,Turkey Soft Tacos,Sandwiches and Tacos,38 mins,7,0.0921464396938073,6,1
P044,2,Sublime Oxford Sandwich,Sandwiches and Tacos,25 mins,7,0.139889645960284,4,2
P044,3,Vegetarian Chickpea Sandwich Filling,Sandwiches and Tacos,20 mins,7,0.1633110196397392,5,3
P044,1,Waikiki Meatballs,Meat and Chicken Dishes,45 mins,14,0.0423425203620692,11,4
P044,2,Natasha's Out-Of-This World Instant Pot Meatballs,Meat and Chicken Dishes,40 mins,11,0.2260903992266124,11,5
P044,3,Honey-Garlic Pork Chops,Meat and Chicken Dishes,45 mins,12,0.1588407662743171,11,6
P049,1,Cantonese Style Pork and Shrimp Dumplings,Dumplings,50 mins,12,0.2046649825984915,6,1
P049,2,Potato Dumplings,Dumplings,50 mins,4,0.4686848972175427,5,2
P049,3,Pierogi with Sauerkraut and Dried Mushrooms,Dumplings,1 hr 32 mins,10,0.4797308863894518,7,3
P049,1,Grilled Hawaiians,Sandwiches and Tacos,15 mins,5,0.0,11,4
P049,2,The Real Reuben,Sandwiches and Tacos,8 mins,5,0.0393258426966292,11,5
P049,3,PBJ 'Sushi' Kid's Bento Box,Sandwiches and Tacos,15 mins,5,0.0,9,6
P050,1,Healthy Pasta Primavera,Pasta,40 mins,15,0.1153846153846153,4,1
