participant_id,phase_duration_seconds,total_duration_seconds,social_presence_3,social_presence_1,social_presence_4,social_presence_5,social_presence_2,affect_trust_1,affect_trust_2,attention_check_1,integrity_trust_1,integrity_trust_2,integrity_trust_3,benevolence_trust_1,benevolence_trust_2,benevolence_trust_3,competence_trust_1,competence_trust_2,competence_trust_3,demographics
P003,330,330,6,3,3,2,4,5,4,5,5,4,4,3,2,4,5,4,5,{}
P005,372,372,5,5,4,5,4,4,4,5,4,5,5,4,5,4,5,4,5,{}
P007,581,581,7,6,7,6,6,7,7,5,7,7,7,7,7,7,7,7,7,{}
P011,295,295,5,6,6,5,4,6,6,5,6,6,6,7,6,5,5,6,6,{}
P014,346,346,6,5,5,4,5,6,5,5,7,7,7,7,6,7,7,7,7,{}
P021,368,368,4,1,2,2,2,5,3,5,4,4,5,4,1,5,6,6,6,{}
P022,376,376,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,{}
P028,312,312,6,4,3,3,5,6,6,5,7,7,7,7,7,7,7,7,7,{}
P030,211,211,6,6,7,7,7,6,6,5,6,5,5,6,5,5,6,5,5,{}
P031,363,363,6,6,3,3,4,7,7,5,6,6,6,6,6,6,6,7,6,{}
P033,597,597,5,2,3,2,6,6,7,5,6,6,5,7,7,6,6,7,6,{}
P034,223,223,6,6,6,6,5,6,6,5,5,5,5,5,6,6,6,6,6,{}
P035,187,187,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,{}
P036,290,290,5,6,7,4,6,5,7,5,5,5,6,6,4,4,6,6,7,{}
P041,463,463,6,5,4,5,6,5,6,5,6,6,5,6,5,5,3,3,5,{}
P043,352,352,6,5,5,5,5,7,7,5,7,7,7,7,7,7,7,7,7,{}
P046,310,310,7,6,5,5,6,7,7,5,6,7,7,6,4,7,6,6,7,{}
P047,391,391,5,4,4,4,5,6,5,5,5,5,6,5,6,6,6,6,5,{}
P055,575,575,7,5,6,6,6,6,7,5,5,4,6,5,4,7,6,7,7,{}
P056,502,502,7,5,6,6,7,7,7,5,6,6,7,7,7,7,7,7,7,{}
P004,702,702,6,3,3,3,5,5,5,5,6,6,5,6,7,6,5,6,6,{}
P038,442,442,7,3,4,6,5,7,5,5,7,7,6,6,7,6,7,7,7,{}
P042,426,426,6,3,3,3,4,6,5,5,6,6,6,6,6,4,6,7,7,{}
P012,311,311,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,{}
P037,793,793,7,2,7,7,2,7,7,7,5,5,5,6,6,6,7,7,7,{}
P029,404,404,7,5,5,5,4,5,5,7,6,6,6,7,7,6,6,7,7,{}
P027,358,358,5,3,4,3,3,3,4,5,4,4,3,5,4,4,5,5,4,{}
P025,463,463,5,3,2,3,4,5,4,5,5,5,6,6,7,5,6,7,6,{}
P058,477,477,5,4,4,4,3,3,4,5,5,4,4,3,3,2,2,3,3,{}
P054,399,399,3,1,1,1,3,4,4,5,6,7,6,7,6,7,7,6,6,{}
