participant_id,rank,recipe_title,dish_type,total_time,complexity,distance,fsa_score,row_num
P004,1,Instant Pot Jazzed-Up Instant Ramen Noodle Soup,Pasta,30 mins,10,0.0384615384615384,4,1
P004,2,Linguini with White Clam Sauce,Pasta,25 mins,11,0.0666666666666666,5,2
P004,3,Whole-Family Pasta with Broccoli and Cauliflower,Pasta,25 mins,11,0.0666666666666666,6,3
P004,1,Pogaca (Feta Dumplings),Dumplings,1 hr,15,0.3905124837953328,11,4
P004,2,Yeast Dumplings,Dumplings,50 mins,9,0.2046649825984914,10,5
P004,3,Verenika,Dumplings,1 hr 30 mins,16,0.5916127694144544,11,6
P012,1,Instant Pot Jazzed-Up Instant Ramen Noodle Soup,Pasta,30 mins,10,0.0384615384615384,4,1
P012,2,Linguini with White Clam Sauce,Pasta,25 mins,11,0.0666666666666666,5,2
P012,3,Whole-Family Pasta with Broccoli and Cauliflower,Pasta,25 mins,11,0.0666666666666666,6,3
P012,1,Roast Salmon With Balsamic Vinegar,Seafood,25 mins,8,0.125,12,4
P012,2,Salmon with Pecan Honey Glaze,Seafood,35 mins,6,0.0666666666666666,11,5
P012,3,Maple-Mustard Salmon,Seafood,20 mins,5,0.0708333333333333,10,6
P025,1,Party Cucumber Sandwiches,Sandwiches and Tacos,10 mins,5,0.0280898876404494,6,1
P025,2,Crunchy Brunch Wrap,Sandwiches and Tacos,10 mins,5,0.0280898876404494,7,2
P025,3,Good and Easy Sloppy Joes,Sandwiches and Tacos,20 mins,5,0.0280898876404494,7,3
P025,1,Homemade Macaroni and Cheese,Pasta,50 mins,10,0.0384615384615384,11,4
P025,2,Cafeteria Macaroni and Cheese,Pasta,50 mins,11,0.076965800101557,11,5
P025,3,Easy Mac and Cheese Muffins,Pasta,55 mins,9,0.1017919653398934,11,6
P029,1,Creamy Asparagus Pasta,Pasta,30 mins,6,0.0384615384615384,4,1
P029,2,Pasta with Fresh Tomato Sauce,Pasta,25 mins,6,0.0,5,2
P029,3,Pasta with Arugula and Tomatoes,Pasta,25 mins,7,0.0666666666666666,5,3
P029,1,Ham and Pineapple Dinner,Meat and Chicken Dishes,35 mins,9,0.106081048144851,12,4
P029,2,Skillet Meatloaf,Meat and Chicken Dishes,55 mins,10,0.0285714285714285,11,5
P029,3,Natasha's Out-Of-This World Instant Pot Meatballs,Meat and Chicken Dishes,40 mins,11,0.0846850407241383,11,6
P037,1,Easy Caramelized Onion Pork Chops,Meat and Chicken Dishes,45 mins,6,0.1142857142857142,5,1
P037,2,Apricot-Glazed Pork Chops,Meat and Chicken Dishes,20 mins,6,0.0285714285714285,7,2
P037,3,World's Best Honey Garlic Pork Chops,Meat and Chicken Dishes,25 mins,5,0.0625,7,3
P037,1,Restaurant Style Mac and Cheese,Pasta,25 mins,5,0.0666666666666667,11,4
P037,2,Spamaroni and Cheese,Pasta,35 mins,5,0.1017919653398934,11,5
P037,3,Mac and Cheese in a Cheese Waffle Cone,Pasta,40 mins,6,0.1153846153846153,11,6
