name,url,category,summary,ingredients,directions,total,servings_n,yield,calories,fat_100g,satfat_100g,sugars_100g,salt_100g,fat_fsa,satfat_fsa,sugars_fsa,salt_fsa,fat_score,satfat_score,sugars_score,salt_score,fsa_score,fsa_health_label,rating,dish_type_scraped,cuisine_scraped,total_minutes,ingredient_count,dish_type_llm,cuisine_llm,image_path,dish_type_normalised
The Best Meatloaf I've Ever Made,https://www.allrecipes.com/recipe/74360/the-best-meatloaf-ive-ever-made/,main-dish,"When I was growing up, my mom never ever made meatloaf and I always wanted to try it - I finally tried it at a restaurant and loved it. When I moved out on my own I started experimenting with different recipes and creating my own version. I finally came up with the best meatloaf I have ever made, and I wanted to share it.","1 tablespoon butter ; ¼ cup minced onion ; 2 cloves garlic, minced ; 1 ½ teaspoons salt ; 1 ½ teaspoons freshly ground black pepper ; 2 pounds extra-lean ground beef ; 3 slices bread, toasted and crumbled ; 7  buttery round crackers, crushed ; 1  egg, lightly beaten ; 3 ½ tablespoons sour cream ; 1 ½ tablespoons Worcestershire sauce ; 1 (15 ounce) can tomato sauce, divided ; ¼ cup milk  (Optional); 3 tablespoons ketchup","Preheat oven to 350 degrees F (175 degrees C). Melt the butter in a skillet over medium heat, and cook the onion and garlic 5 minutes, until onion is tender. Remove from heat, and season with salt and pepper. In a large bowl, mix the onion and garlic, beef, crumbled bread, crushed crackers, egg, sour cream, Worcestershire sauce, and 1/2 can tomato sauce. Gradually stir in the milk 1 teaspoon at a time until mixture is moist, but not soggy. Transfer the mixture to a 5x9 inch loaf pan. Bake uncovered in the preheated oven 40 minutes. Increase oven temperature to 400 degrees F (200 degrees C), and continue baking 15 minutes, to an internal temperature of 160 degrees F (70 degrees C). In a small bowl, mix the remaining tomato sauce and ketchup. Pour over the top of the meatloaf, and continue baking 10 minutes.",1 hr 25 mins,12.0,12 servings,212.6,6.928303013712266,2.866884005674041,1.970982753900903,0.968469253166762,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.52,Meatloaf Recipes,American,85.0,14,Meatloaf,American,recipe_images/recipe_8.jpg,Meat Dishes
Sloppy Joes II,https://www.allrecipes.com/recipe/24264/sloppy-joes-ii/,main-dish,This is the recipe my mother used for sloppy joes and it always gets compliments!,1 pound lean ground beef ; ¼ cup chopped onion ; ¼ cup chopped green bell pepper ; ½ teaspoon garlic powder ; 1 teaspoon prepared yellow mustard ; ¾ cup ketchup ; 3 teaspoons brown sugar ;   salt to taste ;   ground black pepper to taste,"In a medium skillet over medium heat, brown the ground beef, onion, and green pepper; drain off liquids. Stir in the garlic powder, mustard, ketchup, and brown sugar; mix thoroughly. Reduce heat, and simmer for 30 minutes. Season with salt and pepper.",40 mins,6.0,6 servings,188.8,10.453155407283848,4.003336113427857,10.67556296914095,1.1573533500139006,amber,amber,amber,amber,2.0,2.0,2.0,2.0,8.0,healthy,4.67,Sandwich Recipes,American,40.0,9,Sandwich,American,recipe_images/recipe_9.jpg,Sandwiches and Tacos
World's Best Honey Garlic Pork Chops,https://www.allrecipes.com/recipe/235158/worlds-best-honey-garlic-pork-chops/,main-dish,A quick and simple grilled pork chop that everyone will love featuring a simple and easy glaze.,"½ cup ketchup ; 2 ⅔ tablespoons honey ; 2 tablespoons low-sodium soy sauce ; 2 cloves garlic, crushed ; 6 (4 ounce) (1-inch thick) pork chops","Preheat grill for medium heat and lightly oil the grate. Whisk ketchup, honey, soy sauce, and garlic together in a bowl to make a glaze. Sear the pork chops on both sides on the preheated grill. Lightly brush glaze onto each side of the chops as they cook; grill until no longer pink in the center, about 7 to 9 minutes per side. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).",25 mins,6.0,6 servings,208.4,3.1788079470198674,1.0785241248817408,6.982024597918639,0.6259697256385999,amber,green,amber,amber,2.0,1.0,2.0,2.0,7.0,healthy,4.42,Bbq & Grilling Recipes,American,25.0,5,Pork,American,recipe_images/recipe_14.jpg,Meat Dishes
Gnocchi I,https://www.allrecipes.com/recipe/18465/gnocchi-i/,main-dish,"This simple potato, flour, and egg recipe is one my family has used for generations.",2  potatoes ; 2 cups all-purpose flour ; 1  egg,"Bring a large pot of salted water to a boil. Peel potatoes and add to pot.  Cook until tender but still firm, about 15 minutes. Drain, cool and mash with a fork or potato masher. Combine 1 cup mashed potato, flour and egg in a large bowl.  Knead until dough forms a ball.  Shape small portions of the dough into long ""snakes"".  On a floured surface, cut snakes into half-inch pieces. Bring a large pot of lightly salted water to a boil. Drop in gnocchi and cook for 3 to 5 minutes or until gnocchi have risen to the top; drain and serve.",1 hr,4.0,4 servings,329.2,1.1019283746556474,0.2754820936639118,0.6060606060606062,0.0296143250688705,green,green,green,green,1.0,1.0,1.0,1.0,4.0,healthy,4.29,Pasta And Noodles,Italian,60.0,3,Pasta and Noodles,Italian,recipe_images/recipe_15.jpg,Pasta
Stuffed Peppers,https://www.allrecipes.com/recipe/16330/stuffed-peppers/,main-dish,Green peppers stuffed with ground beef and rice and topped with a seasoned tomato sauce.,1 pound ground beef ; ½ cup uncooked long grain white rice ; 1 cup water ; 6  green bell peppers ; 2 (8 ounce) cans tomato sauce ; 1 tablespoon Worcestershire sauce ; ¼ teaspoon garlic powder ; ¼ teaspoon onion powder ;   salt and pepper to taste ; 1 teaspoon Italian seasoning,"Preheat oven to 350 degrees F (175 degrees C). Place the rice and water in a saucepan, and bring to a boil. Reduce heat, cover, and cook 20 minutes. In a skillet over medium heat, cook the beef until evenly browned. Remove and discard the tops, seeds, and membranes of the bell peppers. Arrange peppers in a baking dish with the hollowed sides facing upward. (Slice the bottoms of the peppers if necessary so that they will stand upright.) In a bowl, mix the browned beef, cooked rice, 1 can tomato sauce, Worcestershire sauce, garlic powder, onion powder, salt, and pepper. Spoon an equal amount of the mixture into each hollowed pepper. Mix the remaining tomato sauce and Italian seasoning in a bowl, and pour over the stuffed peppers. Bake 1 hour in the preheated oven, basting with sauce every 15 minutes, until the peppers are tender.",1 hr 20 mins,6.0,6 servings,247.7,5.711296011881655,2.187304855614251,3.8277834973249383,0.8560868171001332,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.33,Stuffed,American,80.0,10,Stuffed Dishes,American,recipe_images/recipe_25.jpg,Stuffed Dishes
Homemade Black Bean Veggie Burgers,https://www.allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/,main-dish,"You will never want to eat frozen veggie burgers again. These are so easy, and you'll be proud to have created such a vegetarian delight.","1 (16 ounce) can black beans, drained and rinsed ; ½  green bell pepper, cut into 2 inch pieces ; ½  onion, cut into wedges ; 3 cloves garlic, peeled ; 1  egg ; 1 tablespoon chili powder ; 1 tablespoon cumin ; 1 teaspoon Thai chili sauce or hot sauce ; ½ cup bread crumbs","If grilling, preheat an outdoor grill for high heat, and lightly oil a sheet of aluminum foil. If baking, preheat oven to 375 degrees F (190 degrees C), and lightly oil a baking sheet. In a medium bowl, mash black beans with a fork until thick and pasty. In a food processor, finely chop bell pepper, onion, and garlic. Then stir into mashed beans. In a small bowl, stir together egg, chili powder, cumin, and chili sauce. Stir the egg mixture into the mashed beans. Mix in bread crumbs until the mixture is sticky and holds together. Divide mixture into four patties. If grilling, place patties on foil, and grill about 8 minutes on each side. If baking, place patties on baking sheet, and bake about 10 minutes on each side.",35 mins,4.0,4 patties,198.4,1.5987210231814548,0.3730349054090061,1.1191047162270185,0.8090860644817479,green,green,green,amber,1.0,1.0,1.0,2.0,5.0,healthy,4.38,Burger Recipes,American,35.0,9,Burger,American,recipe_images/recipe_28.jpg,Burger
Heavenly Halibut,https://www.allrecipes.com/recipe/76659/heavenly-halibut/,main-dish,"Rich, cheesy topping goes perfectly with mild flavored halibut.","½ cup grated Parmesan cheese ; ¼ cup butter, softened ; 3 tablespoons mayonnaise ; 2 tablespoons lemon juice ; 3 tablespoons chopped green onions ; ¼ teaspoon salt ; 1 dash hot pepper sauce ; 2 pounds skinless halibut fillets","Preheat the oven broiler. Grease a baking dish. In a bowl, mix the Parmesan cheese, butter, mayonnaise, lemon juice, green onions, salt, and hot pepper sauce. Arrange the halibut fillets in the prepared baking dish. Broil halibut fillets 8 minutes in the prepared oven, or until easily flaked with a fork. Spread with the Parmesan cheese mixture, and continue broiling 2 minutes, or until topping is bubbly and lightly browned.",25 mins,8.0,8 servings,235.3,10.454075397198457,4.1365046535677354,0.1504183510388267,0.5296606185954686,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.66,Seafood Main Dishes,American,25.0,8,Seafood,American,recipe_images/recipe_36.jpg,Seafood
Super Simple Salmon,https://www.allrecipes.com/recipe/189058/super-simple-salmon/,main-dish,This is a very simple but delicious way to prepare fresh salmon using just a few ingredients from your pantry.,1 tablespoon garlic powder ; 1 tablespoon dried basil ; ½ teaspoon salt ; 4 (6 ounce) salmon ; 2 tablespoons butter ; 4  lemon wedges,"Stir together the garlic powder, basil, and salt in a small bowl; rub in equal amounts onto the salmon fillets. Melt the butter in a skillet over medium heat; cook the salmon in the butter until browned and flaky, about 5 minutes per side. Serve each piece of salmon with a lemon wedge.",15 mins,4.0,4 fillets,303.7,10.62965470548409,3.8591740013540967,0.3385240352064997,0.6807718348002709,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.72,Seafood Main Dishes,American,15.0,6,Seafood,International,recipe_images/recipe_38.jpg,Seafood
Pork Chops in a Mushroom Wine Sauce,https://www.allrecipes.com/recipe/267815/pork-chops-in-a-mushroom-wine-sauce/,main-dish,"Easy to prepare, these pork chops are braised in a mushroom wine sauce until they are tender and flavorful. Serve with risotto and steamed vegetables.","6  pork chops ;   Salt and pepper to taste ; 1 small onion, diced ; 1 (10.75 ounce) can  cream of mushroom soup ; 1 cup dry white wine ; 1 (8 ounce) package sliced mushrooms, cleaned","Heat a fry pan to medium-high. Season the pork chops on both sides with salt and pepper. Quickly brown the pork chops in the pan, 3 to 4 minutes per side. No need to cook them all the way, as they'll finish cooking in the oven. Remove them from the pan and set aside. Preheat oven to 350 degrees F. Leave the juices from the browned pork chops in the pan. Add the diced onion and saute until tender, about 5 minutes. Add the soup, white wine, and mushrooms. Stir until mixed. Remove from heat. Add the browned pork chops, and any juices that may have accumulated, back into the pan with the sauce. Spoon some sauce on top of the pork chops. Cover and place in the oven; bake for about 45 minutes. Take the lid off and bake an additional 15 minutes. Serve with the sauce.",1 hr 20 mins,6.0,6 pork chops,189.9,2.825213760190893,0.8781069795187909,0.8781069795187909,0.3615510041757805,green,green,green,amber,1.0,1.0,1.0,2.0,5.0,healthy,4.79,Pork,American,80.0,6,Pork,American,recipe_images/recipe_40.jpg,Meat Dishes
Natasha's Chicken Burgers,https://www.allrecipes.com/recipe/232375/natashas-chicken-burgers/,main-dish,"Natasha is my eldest daughter, and her eyes light up when I announce we're having these for dinner. While my husband and I eat 1 or 2 each, she easily finishes at least 3! The onion can be finely chopped, but with three kids, we prefer grating it so as to hide it. I usually serve these with mashed potatoes and Caesar salad for a very comforting meal! Extra-lean ground chicken can be substituted with ground turkey with great results.","1 pound extra-lean ground chicken ; ½ cup Italian-seasoned bread crumbs, divided ; ½ small onion, finely grated ; 1  egg ; 2 cloves garlic, minced ;   salt and ground black pepper to taste ; 2 teaspoons olive oil","Mix ground chicken, 1/4 cup bread crumbs, onion, egg, garlic, salt, and black pepper in a bowl. Moisten hands and shape chicken mixture, 2 tablespoons at a time, into flat, oval-shaped patties. Spread remaining 1/4 cup bread crumbs into a shallow dish. Roll patties in bread crumbs to coat. Heat olive oil in a large skillet over medium-high heat. Cook patties in hot oil until deep brown in color on the bottom, 5 to 6 minutes. Turn patties and cook until other side is browned, 3 to 4 minutes more.",20 mins,4.0,4 servings,237.9,4.504764654923477,1.03956107421311,0.7507941091539128,0.252526710944268,amber,green,green,green,2.0,1.0,1.0,1.0,5.0,healthy,4.79,Burger Recipes,American,20.0,7,Burger,American,recipe_images/recipe_44.jpg,Burger
